iter	Passed	Remaining
354	1061	1929
355	1064	1925
356	1067	1922
357	1070	1919
358	1073	1916
359	1076	1913
360	1079	1910
361	1082	1907
362	1084	1903
363	1088	1901
364	1091	1898
365	1093	1894
366	1096	1891
367	1099	1887
368	1102	1884
369	1105	1882
370	1108	1878
371	1110	1875
372	1113	1871
373	1116	1869
374	1119	1866
375	1122	1863
376	1125	1860
377	1128	1856
378	1131	1853
379	1134	1850
380	1137	1847
381	1139	1844
382	1142	1840
383	1145	1837
384	1147	1833
385	1150	1830
386	1153	1827
387	1156	1824
388	1159	1821
389	1162	1818
390	1165	1815
391	1168	1812
392	1171	1808
393	1173	1805
394	1176	1802
395	1179	1798
396	1181	1795
397	1184	1792
398	1187	1789
399	1190	1785
400	1193	1782
401	1195	1778
402	1198	1776
403	1201	1772
404	1204	1769
405	1206	1765
406	1209	1762
407	1212	1759
408	1215	1756
409	1218	1753
410	1220	1749
411	1223	1746
412	1226	1743
413	1229	1740
414	1232	1737
415	1235	1734
416	1237	1730
417	1240	1727
418	1243	1723
419	1245	1720
420	1248	1717
421	1251	1714
422	1254	1711
423	1257	1708
424	1260	1704
425	1262	1701
426	1265	1698
427	1268	1695
428	1271	1692
429	1274	1689
430	1276	1685
431	1279	1682
432	1282	1679
433	1285	1676
434	1288	1672
435	1290	1669
436	1293	1666
437	1296	1663
438	1299	1660
439	1302	1658
440	1305	1655
441	1308	1652
442	1311	1649
443	1314	1646
444	1317	1643
445	1320	1640
446	1323	1637
447	1326	1634
448	1329	1631
449	1332	1628
450	1335	1625
451	1338	1622
452	1341	1619
453	1344	1616
454	1347	1613
455	1350	1611
456	1353	1608
457	1356	1605
458	1359	1602
459	1363	1600
460	1366	1597
461	1369	1594
462	1372	1591
463	1375	1589
464	1378	1586
465	1381	1583
466	1384	1579
467	1387	1577
468	1390	1574
469	1393	1571
470	1396	1568
471	1399	1565
472	1402	1562
473	1405	1559
474	1407	1556
475	1410	1553
476	1413	1550
477	1416	1546
478	1419	1543
479	1421	1540
480	1424	1537
481	1427	1534
482	1430	1530
483	1433	1527
484	1435	1524
485	1438	1521
486	1441	1518
487	1444	1515
488	1447	1512
489	1450	1509
490	1453	1507
491	1456	1503
492	1459	1500
493	1462	1497
494	1465	1494
495	1468	1491
496	1470	1488
497	1473	1485
498	1476	1482
499	1479	1479
500	1481	1476
501	1484	1473
502	1487	1470
503	1490	1467
504	1493	1464
505	1496	1461
506	1499	1458
507	1502	1455
508	1505	1452
509	1508	1449
510	1511	1446
511	1514	1443
512	1517	1440
513	1520	1437
514	1523	1434
515	1526	1431
516	1529	1428
517	1532	1425
518	1535	1422
519	1538	1419
520	1541	1416
521	1544	1413
522	1546	1410
523	1549	1407
524	1552	1404
525	1555	1401
526	1558	1398
527	1561	1395
528	1564	1392
529	1567	1389
530	1570	1386
531	1572	1383
532	1575	1380
533	1579	1378
534	1582	1375
535	1585	1372
536	1588	1369
537	1591	1366
538	1594	1363
539	1597	1360
540	1600	1357
541	1602	1354
542	1605	1351
543	1608	1348
544	1611	1345
545	1613	1342
546	1616	1339
547	1620	1336
548	1623	1333
549	1626	1330
550	1629	1327
551	1631	1324
552	1634	1321
553	1637	1318
554	1640	1315
555	1642	1311
556	1645	1308
557	1648	1305
558	1651	1302
559	1653	1299
560	1656	1296
561	1659	1293
562	1662	1290
563	1665	1287
564	1668	1284
565	1671	1281
566	1674	1278
567	1676	1275
568	1679	1272
569	1682	1269
570	1685	1266
571	1687	1263
572	1690	1260
573	1693	1256
574	1696	1254
575	1699	1251
576	1702	1248
577	1705	1245
578	1708	1242
579	1711	1239
580	1714	1236
581	1716	1233
582	1719	1229
583	1722	1226
584	1725	1223
585	1727	1220
586	1730	1217
587	1733	1214
588	1736	1211
589	1739	1208
590	1742	1205
591	1745	1203
592	1749	1200
593	1751	1197
594	1755	1194
595	1758	1191
596	1761	1188
597	1763	1185
598	1766	1182
599	1769	1179
600	1772	1176
601	1775	1173
602	1778	1171
603	1781	1168
604	1784	1164
605	1787	1161
606	1790	1159
607	1793	1156
608	1796	1153
609	1799	1150
610	1803	1147
611	1805	1144
612	1808	1141
613	1810	1138
614	1813	1135
615	1816	1132
616	1819	1129
617	1821	1126
618	1824	1123
619	1827	1120
620	1830	1117
621	1833	1114
622	1836	1111
623	1839	1108
624	1842	1105
625	1845	1102
626	1847	1099
627	1850	1096
628	1853	1093
629	1857	1091
630	1860	1088
631	1863	1085
632	1866	1082
633	1869	1079
634	1873	1076
635	1876	1073
636	1879	1071
637	1882	1068
638	1885	1065
639	1887	1061
640	1890	1058
641	1892	1055
642	1895	1052
643	1898	1049
644	1901	1046
645	1904	1043
646	1906	1040
647	1909	1037
648	1912	1034
649	1915	1031
650	1917	1028
651	1920	1025
652	1923	1022
653	1926	1019
654	1928	1015
655	1931	1012
656	1934	1010
657	1937	1007
658	1940	1004
659	1943	1001
660	1946	998
661	1950	995
662	1953	992
663	1956	989
664	1958	986
665	1961	983
666	1964	980
667	1967	977
668	1970	975
669	1973	972
670	1976	969
671	1979	966
672	1982	963
673	1985	960
674	1988	957
675	1992	954
676	1994	951
677	1997	948
678	2000	945
679	2003	943
680	2006	940
681	2009	937
682	2012	933
683	2015	931
684	2018	928
685	2021	925
686	2024	922
687	2027	919
688	2030	916
689	2033	913
690	2035	910
691	2038	907
692	2040	904
693	2043	901
694	2046	898
695	2049	895
696	2052	892
697	2055	889
698	2058	886
699	2061	883
700	2064	880
701	2067	877
702	2069	874
703	2072	871
704	2075	868
705	2078	865
706	2081	862
707	2084	859
708	2087	856
709	2090	853
710	2093	851
711	2096	847
712	2099	844
713	2101	841
714	2105	839
715	2108	836
716	2110	833
717	2113	830
718	2116	827
719	2118	824
720	2121	820
721	2124	817
722	2126	814
723	2129	811
724	2132	808
725	2134	805
726	2138	802
727	2140	799
728	2144	797
729	2147	794
730	2150	791
731	2152	788
732	2155	785
733	2158	782
734	2161	779
735	2164	776
736	2167	773
737	2170	770
738	2173	767
739	2176	764
740	2179	761
741	2182	758
742	2185	755
743	2188	752
744	2190	749
745	2193	746
746	2196	743
747	2199	740
748	2202	737
749	2205	735
750	2208	732
751	2211	729
752	2214	726
753	2217	723
754	2220	720
755	2223	717
756	2226	714
757	2229	711
758	2231	708
759	2234	705
760	2237	702
761	2240	699
762	2243	696
763	2246	693
764	2249	690
765	2252	688
766	2256	685
767	2258	682
768	2261	679
769	2264	676
770	2266	673
771	2269	670
772	2272	667
773	2275	664
774	2277	661
775	2280	658
776	2283	655
777	2286	652
778	2289	649
779	2292	646
780	2295	643
781	2298	640
782	2300	637
783	2304	634
784	2307	631
785	2309	628
786	2312	625
787	2315	622
788	2318	620
789	2321	617
790	2324	614
791	2327	611
792	2330	608
793	2332	605
794	2335	602
795	2338	599
796	2341	596
797	2343	593
798	2346	590
799	2349	587
800	2352	584
801	2355	581
802	2357	578
803	2360	575
804	2363	572
805	2366	569
806	2369	566
807	2371	563
808	2374	560
809	2377	557
810	2380	554
811	2383	551
812	2386	548
813	2389	546
814	2392	543
815	2395	540
816	2397	537
817	2400	534
818	2403	531
819	2406	528
820	2409	525
821	2412	522
822	2414	519
823	2418	516
824	2420	513
825	2423	510
826	2426	507
827	2428	504
828	2431	501
829	2434	498
830	2437	495
831	2441	492
832	2444	490
833	2447	487
834	2450	484
835	2453	481
836	2456	478
837	2459	475
838	2462	472
839	2466	469
840	2470	466
841	2472	464
842	2475	461
843	2478	458
844	2482	455
845	2484	452
846	2487	449
847	2491	446
848	2494	443
849	2496	440
850	2499	437
851	2502	434
852	2505	431
853	2508	428
854	2511	425
855	2514	423
856	2517	420
857	2520	417
858	2523	414
859	2526	411
860	2528	408
861	2531	405
862	2534	402
863	2537	399
864	2540	396
865	2542	393
866	2545	390
867	2548	387
868	2551	384
869	2554	381
870	2557	378
871	2560	375
872	2563	372
873	2565	369
874	2568	366
875	2571	363
876	2574	361
877	2577	358
878	2579	355
879	2582	352
880	2585	349
881	2588	346
882	2591	343
883	2594	340
884	2597	337
885	2599	334
886	2603	331
887	2605	328
888	2608	325
889	2611	322
890	2614	319
891	2617	316
892	2620	313
893	2622	310
894	2625	308
895	2628	305
896	2631	302
897	2634	299
898	2636	296
899	2639	293
900	2642	290
901	2645	287
902	2648	284
903	2651	281
904	2654	278
905	2657	275
906	2660	272
907	2662	269
908	2665	266
909	2668	263
910	2671	260
911	2674	258
912	2676	255
913	2679	252
914	2681	249
915	2684	246
916	2688	243
917	2690	240
918	2693	237
919	2695	234
920	2698	231
921	2701	228
922	2704	225
923	2707	222
924	2710	219
925	2712	216
926	2715	213
927	2718	210
928	2721	208
929	2724	205
930	2727	202
931	2729	199
932	2733	196
933	2735	193
934	2738	190
935	2741	187
936	2744	184
937	2746	181
938	2749	178
939	2752	175
940	2755	172
941	2757	169
942	2760	166
943	2763	163
944	2765	160
945	2768	158
946	2771	155
947	2774	152
948	2777	149
949	2780	146
950	2783	143
951	2786	140
952	2789	137
953	2793	134
954	2796	131
955	2799	128
956	2801	125
957	2804	122
958	2807	120
959	2810	117
960	2812	114
961	2815	111
962	2819	108
963	2821	105
964	2824	102
965	2827	99
966	2830	96
967	2833	93
968	2836	90
969	2839	87
970	2842	84
971	2845	81
972	2848	79
973	2851	76
974	2854	73
975	2856	70
976	2859	67
977	2862	64
978	2864	61
979	2867	58
980	2869	55
981	2872	52
982	2875	49
983	2878	46
984	2880	43
985	2883	40
986	2886	38
987	2889	35
988	2891	32
989	2894	29
990	2897	26
991	2900	23
992	2903	20
993	2906	17
994	2908	14
995	2912	11
996	2914	8
997	2917	5
998	2920	2
999	2923	0
