iter	Logloss
0	0.6448803552
1	0.5953884377
2	0.5602945993
3	0.5234056635
4	0.4990123435
5	0.4765133096
6	0.4553947707
7	0.4243162761
8	0.4080460041
9	0.3978481156
10	0.3866029366
11	0.3685074078
12	0.3538543717
13	0.3448344091
14	0.3358565549
15	0.3265199588
16	0.3140431738
17	0.3066351205
18	0.2998856964
19	0.2952398315
20	0.2925067426
21	0.2861586071
22	0.2832163026
23	0.2798398825
24	0.2746780673
25	0.2729119665
26	0.2719399984
27	0.2695890698
28	0.2658035794
29	0.2633925409
30	0.2595586527
31	0.2546155619
32	0.2531680896
33	0.2512092364
34	0.2501282525
35	0.2501053033
36	0.2466961452
37	0.2441243705
38	0.2432329141
39	0.2421803458
40	0.2416288384
41	0.2402569245
42	0.2393685732
43	0.2381058907
44	0.2361025491
45	0.2347351427
46	0.233563563
47	0.2315450767
48	0.2304548687
49	0.2297495828
50	0.2292330844
51	0.2284235485
52	0.2260392553
53	0.2257687887
54	0.2242353747
55	0.2239866514
56	0.2219414312
57	0.2197864412
58	0.2188770244
59	0.21762278
60	0.2161187663
61	0.2158293894
62	0.2146655378
63	0.2125736272
64	0.21187943
65	0.2105799358
66	0.2096729047
67	0.2089992741
68	0.2088587721
69	0.2076305535
70	0.2061588738
71	0.2042895523
72	0.2036236262
73	0.2029874032
74	0.2021724769
75	0.201840101
76	0.200939588
77	0.1993545966
78	0.1987772239
79	0.1973401903
80	0.1968865367
81	0.1962882508
82	0.1956243788
83	0.1949235891
84	0.1944095878
85	0.1942469243
86	0.1936363297
87	0.1932938998
88	0.1927367236
89	0.1922356108
90	0.1918218534
91	0.1903570757
92	0.1899626848
93	0.1895830048
94	0.1876704465
95	0.187361233
96	0.1868950629
97	0.1860954525
98	0.1858090867
99	0.1853639028
100	0.18489871
101	0.1844136495
102	0.1840830082
103	0.1835704961
104	0.1826769687
105	0.1823032655
106	0.1813686556
107	0.1809039772
108	0.1795264535
109	0.1792790509
110	0.1789419026
111	0.178377805
112	0.1778735231
113	0.1769395446
114	0.1765656257
115	0.1762616143
116	0.1756011694
117	0.173903151
118	0.1733660096
119	0.1728542766
120	0.1725676927
121	0.1717113586
122	0.1711134969
123	0.1708522497
124	0.1706031384
125	0.1700412849
126	0.1694634265
127	0.1691721695
128	0.1686766797
129	0.1678177144
130	0.1668956795
131	0.1664742801
132	0.1658059932
133	0.165306515
134	0.1643013045
135	0.1635768646
136	0.1631373324
137	0.1625241447
138	0.1621995009
139	0.1619386616
140	0.1605759627
141	0.1598039695
142	0.159448872
143	0.1588327478
144	0.1573021905
145	0.156316665
146	0.1547022945
147	0.1535343964
148	0.1524111579
149	0.1506641654
150	0.1503774983
151	0.1480562165
152	0.1468912682
153	0.1455528368
154	0.1444148761
155	0.1424268008
156	0.1418469728
157	0.1405790877
158	0.1398460352
159	0.1385761401
160	0.1369453599
161	0.1358288022
162	0.1350222847
163	0.1343556284
164	0.13328269
165	0.1324387118
166	0.1313921308
167	0.1310379725
168	0.129141771
169	0.1280423617
170	0.1265237202
171	0.1247574694
172	0.123833708
173	0.122636466
174	0.1217839332
175	0.1207296019
176	0.1199055327
177	0.1195706832
178	0.1183303087
179	0.1161347757
180	0.1149093108
181	0.1135168263
182	0.1117861721
183	0.11025067
184	0.1098773425
185	0.1086748741
186	0.1078822996
187	0.1069755474
188	0.1045320708
189	0.1021613782
190	0.1000686587
191	0.09903638116
192	0.0970476992
193	0.0953842534
194	0.09389246257
195	0.09234108537
196	0.09164149089
197	0.09017752968
198	0.08898170791
199	0.08854857533
200	0.08683653275
201	0.08622476256
